ID,name,description,price,discount,stock
550e8400-e29b-41d4-a716-446655440000,Samsung Galaxy S24 Ultra,Premium flagship phone with advanced camera and AI features,129999.00,10,25
6ba7b810-9dad-11d1-80b4-00c04fd430c8,Samsung Galaxy S24+,High-performance smartphone with pro-grade camera and fast processing,99999.00,8,40
f47ac10b-58cc-4372-a567-0e02b2c3d479,Samsung Galaxy S24,Powerful everyday smartphone with bright display and strong battery life,79999.00,5,60
2519782a-2831-4825-886b-a49688463e2a,Samsung Galaxy Z Fold5,Premium foldable phone offering large screen multitasking experience,154999.00,12,15
8230076a-360a-4841-886d-f0b938038753,Samsung Galaxy Z Flip5,Compact flip phone with stylish design and flexible display,94999.00,15,30
28f9d6c4-0675-408a-bc3e-08709337b526,Samsung Galaxy Tab S9 Ultra,High-end Android tablet with large display for work and entertainment,108999.00,7,20
b6170566-6b2c-49f3-80b1-383177695a43,Samsung Galaxy Tab S9+,Premium tablet with vivid screen and fast performance,89999.00,9,35
d4c679a6-77e8-4228-8772-5632a5710600,Samsung Galaxy Watch6 Classic,Smartwatch with fitness tracking and classic rotating bezel design,45999.00,20,50
a60037a3-e7a6-4b85-8f64-d6210f92f254,Samsung Galaxy Buds2 Pro,Premium wireless earbuds with noise cancellation and clear sound,17999.00,25,100
e0497554-3e91-4433-8998-9447e4529367,Samsung 65-inch Neo QLED TV,High-end smart TV with vivid picture quality and advanced backlighting,189999.00,18,10